"filename", "language", "PHP", "HTML", "Batch", "JSON", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 7, 3, 36
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 8, 3, 39
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 7, 3, 32
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 5, 3, 35
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 9, 3, 39
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 3, 31
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 9, 3, 32
